Age,Gender,Weight (kg),Height (m),Avg_BPM,Session_Duration (hours),Workout_Type,Workout_Frequency (days/week),Experience_Level,Calories_Burned
56,Male,88.3,1.71,157,1.69,Yoga,4,3,1313
46,Female,74.9,1.53,151,1.3,HIIT,4,2,883
32,Female,68.1,1.66,122,1.11,Cardio,4,2,677
25,Male,53.2,1.7,164,0.59,Strength,3,1,532
38,Male,46.1,1.79,158,0.64,Strength,3,1,556
56,Female,58,1.68,156,1.59,HIIT,5,3,1116
36,Male,70.3,1.72,169,1.49,Cardio,3,2,1385
40,Female,69.7,1.51,141,1.27,Cardio,3,2,895
28,Male,121.7,1.94,127,1.03,Strength,4,2,719
28,Male,101.8,1.84,136,1.08,Cardio,3,1,808
41,Male,120.8,1.67,146,0.82,HIIT,2,1,593
53,Male,51.7,1.7,152,1.15,HIIT,3,2,865
57,Male,112.5,1.61,165,1.24,Cardio,3,2,1013
41,Male,94.5,2,136,1.18,HIIT,3,1,794
20,Male,117.7,1.81,161,1.35,Yoga,3,2,1195
39,Female,42.5,1.75,131,1.13,Strength,2,1,740
19,Female,64,1.53,167,1.33,HIIT,3,2,1111
41,Female,43.8,1.77,165,1.19,Cardio,3,1,884
47,Female,66.8,1.75,146,1.13,Strength,3,2,742
55,Female,75.2,1.67,167,1.37,HIIT,2,1,1030
19,Male,89,1.77,127,1.5,Strength,4,2,1048
38,Male,71.9,1.77,142,1.12,Cardio,2,1,875
50,Female,71,1.68,161,1.17,Yoga,2,1,848
29,Male,120.9,1.78,168,0.78,Yoga,2,1,721
39,Female,64.3,1.69,148,1.25,HIIT,4,2,925
42,Female,63.7,1.71,169,1.42,Yoga,3,2,1080
44,Male,65.2,1.8,139,0.73,HIIT,2,1,502
59,Male,53.9,1.75,135,1.48,Strength,4,2,989
45,Male,84.9,1.86,136,1.64,HIIT,5,3,1104
33,Female,78,1.68,135,1.29,HIIT,3,2,871
32,Male,108.2,1.8,138,1.27,HIIT,3,1,964
20,Female,65.4,1.52,127,1.03,Yoga,4,2,654
54,Female,50.2,1.61,157,1.48,HIIT,2,1,1046
24,Female,58.9,1.51,157,1.04,Cardio,2,1,816
38,Male,81.4,1.71,148,1.52,HIIT,5,3,1237
26,Male,127.6,1.73,160,1.32,Strength,3,1,1162
56,Female,59.3,1.56,155,1.26,Cardio,4,2,879
35,Male,96.9,1.71,145,1.34,Strength,3,2,1069
21,Male,62.6,1.81,150,1.3,Strength,4,2,1072
42,Male,45.5,1.6,163,1.31,Strength,3,2,1057
31,Female,48.8,1.51,131,1.48,Cardio,2,1,969
26,Female,44.3,1.6,136,1.08,Cardio,3,1,734
43,Male,113.2,1.83,134,1.45,Yoga,4,2,962
19,Female,60.5,1.59,128,1.14,Cardio,2,1,730
37,Male,124.2,1.76,158,1.5,HIIT,2,1,1304
45,Male,52.4,1.85,161,1.2,Strength,3,1,956
24,Male,54.7,1.74,167,0.84,Yoga,3,1,772
25,Male,88.1,1.95,131,1.41,Cardio,2,1,1016
52,Female,59.7,1.71,151,1.23,Strength,3,1,836
31,Female,79.7,1.54,144,1.03,Cardio,4,2,742
34,Female,51,1.62,158,1.42,Yoga,3,2,1122
53,Male,84.2,1.76,137,1.67,Cardio,5,3,1133
57,Male,122.1,1.89,134,1.13,Cardio,3,1,750
21,Male,96.7,1.72,151,1.26,Strength,3,1,1046
19,Female,73,1.79,125,0.81,HIIT,3,1,506
23,Male,114.8,1.6,163,1.47,Cardio,4,2,1318
59,Female,65.5,1.52,162,1.4,Yoga,3,2,1021
21,Female,50.3,1.52,154,1.08,Cardio,3,1,832
46,Female,61,1.71,153,1.67,Cardio,4,3,1150
35,Female,44.6,1.62,157,0.56,HIIT,2,1,440
43,Female,58.2,1.61,124,1.04,Strength,3,2,580
51,Female,44.8,1.63,137,1.08,Yoga,4,2,666
27,Male,87.5,1.63,135,1.75,Strength,5,3,1299
53,Male,51.8,1.74,127,1.23,Strength,3,2,773
31,Female,64.4,1.7,144,1.97,Strength,5,3,1418
48,Female,67.1,1.61,151,0.62,Cardio,2,1,421
32,Male,85.9,1.6,145,1.99,HIIT,5,3,1587
25,Female,65.4,1.77,141,0.89,Cardio,3,1,627
31,Female,61.1,1.76,150,1.81,Yoga,4,3,1358
40,Male,106.5,1.65,162,1.32,HIIT,4,2,1176
57,Female,64,1.52,129,1.73,Strength,5,3,1004
38,Female,61.4,1.54,131,1.47,HIIT,3,2,963
33,Female,40.5,1.63,147,1.07,Yoga,4,2,786
35,Male,70.1,1.79,125,1.08,Cardio,3,2,743
41,Male,94.1,1.62,139,1.13,Cardio,4,2,777
43,Male,55.5,1.82,124,1.08,Strength,3,1,663
42,Female,53.7,1.72,142,1.37,Cardio,3,1,875
58,Female,66.1,1.75,128,0.63,Cardio,2,1,363
46,Male,103.9,1.77,148,1.18,Yoga,2,1,864
32,Female,61.7,1.58,135,1.87,HIIT,5,3,1262
18,Female,52.3,1.74,165,1.2,Cardio,2,1,990
42,Female,59.5,1.74,141,1.78,Yoga,5,3,1129
24,Female,72.9,1.76,127,0.86,Yoga,3,1,546
26,Female,76.7,1.63,139,1.08,Strength,2,1,751
41,Male,72.1,1.83,133,1.13,Yoga,3,2,744
18,Female,54.8,1.68,158,1.27,Strength,4,2,1003
25,Male,105,1.88,156,1.34,Cardio,3,2,1150
41,Female,55,1.55,169,1.45,Strength,4,2,1103
28,Male,81.6,1.66,153,1.09,Yoga,4,2,917
34,Female,75.6,1.6,130,0.64,HIIT,2,1,416
25,Male,81.5,1.61,159,1.93,HIIT,4,3,1688
52,Female,61.5,1.69,152,1.8,Cardio,4,3,1231
52,Male,74,1.63,150,1.26,Cardio,3,2,936
50,Female,56.4,1.59,163,1.26,HIIT,3,1,924
22,Male,102.6,1.84,153,1.25,Strength,3,2,1052
59,Female,54.6,1.57,169,0.58,Cardio,3,1,441
56,Male,129,1.78,126,1.29,Yoga,2,1,805
58,Male,103.5,1.66,168,1.33,Cardio,3,1,1106
45,Female,59.4,1.51,142,1.15,Strength,4,2,735
24,Female,60.1,1.79,165,1.97,Cardio,4,3,1625
